id|idawardtype|winner|category
183225|2704|True|b'best original score for an animated film'
183230|2704|True|b'best re recording of an existing score'
183243|2704|True|b'best archival re recording of an existing score'
183250|2704|True|b'best original score for a comedy film'
183259|2704|True|b'best original score for a drama film'
183269|2704|True|b'best original score for an action adventure thriller film'
183274|2704|True|b'best original score for an animated film'
183289|2704|True|b'best archival re recording of an existing score'
183293|2704|True|b'best archival release of an existing score'
183305|2704|True|b'best original score for a drama film'
183310|2704|True|b'best original score for a fantasy science fiction horror film'
183316|2704|True|b'best original score for an action adventure thriller film'
183321|2704|True|b'best original score for an animated film'
183336|2704|True|b'best archival release of an existing score   re release or re recording'
183349|2704|True|b'best original score for a drama film'
183354|2704|True|b'best original score for a fantasy science fiction horror film'
183359|2704|True|b'best original score for an action adventure thriller film'
183379|2704|True|b'best archival release of an existing score   re release or re recording'
183383|2704|True|b'best original score for a comedy film'
183396|2704|True|b'best original score for a fantasy science fiction horror film'
183401|2704|True|b'best original score for an action adventure thriller film'
183406|2704|True|b'best original score for an animated film'
183421|2704|True|b'best archival release of an existing score   re recording'
183423|2704|True|b'best archival release of an existing score   re release'
183428|2704|True|b'best original score for a comedy film'
183436|2704|True|b'best original score for a drama film'
183441|2704|True|b'best original score for a fantasy science fiction horror film'
183446|2704|True|b'best original score for an action adventure thriller film'
183451|2704|True|b'best original score for an animated film'
183475|2704|True|b'best original score for a drama film'
183480|2704|True|b'best original score for a fantasy science fiction horror film'
183485|2704|True|b'best original score for an action adventure thriller film'
183490|2704|True|b'best original score for an animated film'
183495|2704|True|b'best re release or re recording of an existing score'
183510|2704|True|b'best new release re release or re recording of an existing score'
183515|2704|True|b'best original score for a comedy film'
183529|2704|True|b'best original score for a fantasy science fiction horror film'
183534|2704|True|b'best original score for an action adventure thriller film'
183539|2704|True|b'best original score for an animated film'
184134|2731|True|b'best original score'
184158|2731|True|b'best original score'
184207|2731|True|b'best original score'
184241|2731|True|b'best original score'
184272|2731|True|b'best original score'
184336|2731|True|b'best original score'
184419|2731|True|b'best original score'
184489|2731|True|b'best original score'
184576|2731|True|b'best original score'
184661|2731|True|b'best original score'
184863|2731|True|b'best original score'
184960|2731|True|b'best original score'
185060|2731|True|b'best original score'
186708|2756|True|b'best original score or soundtrack'
186867|2756|True|b'best original score or soundtrack'
186969|2756|True|b'best original score or soundtrack'
187370|2770|True|b'best musical score'
187393|2770|True|b'best musical score'
187418|2770|True|b'best musical score'
187448|2770|True|b'best musical score'
187475|2770|True|b'best musical score'
187504|2770|True|b'best musical score'
190153|2804|True|b'best musical score'
192045|2821|True|b'best original score feature film'
193731|2855|True|b'best original score'
193786|2855|True|b'best original score'
193841|2855|True|b'best original score'
194004|2855|True|b'best original score'
